,0
0,0.9992995
1,0.141029
2,0.9995354
3,0.5311484
4,0.9906469
5,0.93479043
6,0.5527089
7,0.994003
8,0.96354425
9,0.38944522
10,0.99738604
11,0.9837866
12,0.22935216
13,0.65776926
14,0.9148795
15,0.07098433
16,0.3725585
17,0.6196364
18,0.9706224
19,0.70662886
20,0.84548074
21,0.011274365
22,0.076639555
23,0.8760281
24,0.30842242
25,0.7646303
26,0.04858288
27,0.72369784
28,0.9996457
29,0.9999351
30,0.8596954
31,0.98779994
32,0.9983629
33,0.017806573
34,0.8991684
35,0.61035913
36,0.9999191
37,0.9998935
38,0.44256184
39,0.9921385
40,0.8164015
41,0.9156848
42,0.9995337
43,0.34394255
44,0.78595394
45,0.14429273
46,0.6551974
47,0.89260346
48,0.5016117
49,0.9857114
50,0.8899588
51,0.78334725
52,0.7263939
53,0.9781787
54,0.99356145
55,0.99948066
56,0.77958834
57,0.03728849
58,0.81319004
59,0.32645974
60,0.9937157
61,0.97492945
62,0.9992695
63,0.88823
64,0.99974334
65,0.9599756
66,0.76640403
67,0.06332712
68,0.02627343
69,0.19455954
70,0.9872151
71,0.99927187
72,0.8248014
73,0.12024828
74,0.768279
75,0.99536973
76,0.9998792
77,0.99574196
78,0.99279433
79,0.9882532
80,0.94613916
81,0.98601633
82,0.19156525
83,0.8092434
84,0.47049186
85,0.6293964
86,0.9953326
87,0.94486547
88,0.99990124
89,0.91599137
90,0.7839815
91,0.36652774
92,0.19803211
93,0.87685674
94,0.98968893
95,0.07020536
96,0.9973171
97,0.93239975
98,0.014053387
99,0.83693784
100,0.93925285
101,0.9566847
102,0.57395184
103,0.8665061
104,0.2638359
105,0.6248695
106,0.7425375
107,0.63992155
108,0.044889204
109,0.99966943
110,0.30969727
111,0.6166105
112,0.6033638
113,0.8716139
114,0.9587723
115,0.14993349
116,0.95670843
117,0.05644766
118,0.950945
119,0.5653928
120,0.98918974
121,0.8779571
122,0.9885533
123,0.005254765
124,0.12475545
125,0.00725965
126,0.9008766
127,0.99170315
128,0.7949018
129,0.006001146
130,0.17921184
131,0.9933676
132,0.8387776
133,0.6123727
134,0.910211
135,0.1707308
136,0.26839617
137,0.102551125
138,0.73900944
139,0.06054018
140,0.41067693
141,0.47951734
142,0.78090984
143,0.9986855
144,0.09661815
145,0.8479697
146,0.9170429
147,0.60519326
148,0.01142068
149,0.36420977
150,0.96158063
151,0.81612515
152,0.5888457
153,0.886026
154,0.9116624
155,0.99587893
156,0.114265285
157,0.15903617
158,0.99452037
159,0.0008704883
160,0.30498806
161,0.056399025
162,0.22334044
163,0.60524017
164,0.20174386
165,0.00851451
166,0.7130418
167,0.25311565
168,0.18548022
169,0.8712743
170,0.97957224
171,0.99893266
172,0.9501247
173,0.34960732
174,0.7469963
175,0.4580468
176,0.9898216
177,0.9502866
178,0.4279868
179,0.9491693
180,0.90485924
181,0.17313349
182,0.49257657
